Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand,Year,Month,Week,Day,Day_of_Week,Is_Weekend,Inventory_to_Sales_Ratio,Inventory_Gap,Price_Difference,Price_Difference_Percentage,Promotion_Discount,Previous_Demand,Previous_Units_Sold,Rolling_7_Day_Demand,Rolling_7_Day_Sales
2022-01-01,S001,P0001,Electronics,North,195,102,252,72.72,5,Snowy,0,85.73,Winter,0,115,2022,1,52,1,5,1,1.911764705882353,93,-13.010000000000005,-15.175551148956028,0,,,,
2022-01-02,S001,P0001,Electronics,North,93,71,0,65.63,5,Snowy,0,73.66,Winter,0,84,2022,1,52,2,6,1,1.3098591549295775,22,-8.030000000000001,-10.901439044257401,0,115.0,102.0,,
2022-01-03,S001,P0001,Electronics,North,274,142,229,68.55,15,Snowy,1,80.73,Winter,0,132,2022,1,1,3,0,0,1.9295774647887325,132,-12.180000000000007,-15.087328130806398,15,84.0,71.0,,
2022-01-04,S001,P0001,Electronics,North,132,42,0,61.66,10,Snowy,0,54.88,Winter,0,67,2022,1,1,4,1,0,3.142857142857143,90,6.779999999999994,12.354227405247801,0,132.0,142.0,,
2022-01-05,S001,P0001,Electronics,North,319,129,0,59.56,25,Snowy,1,57.34,Winter,0,110,2022,1,1,5,2,0,2.4728682170542635,190,2.219999999999999,3.871642832228808,25,67.0,42.0,,
2022-01-06,S001,P0001,Electronics,North,190,98,308,84.03,0,Sunny,0,95.54,Winter,0,146,2022,1,1,6,3,0,1.9387755102040816,92,-11.510000000000005,-12.047310027213737,0,110.0,129.0,,
2022-01-07,S001,P0001,Electronics,North,92,92,0,66.07,10,Snowy,0,63.57,Winter,0,87,2022,1,1,7,4,0,1.0,0,2.499999999999993,3.932672644329075,0,146.0,98.0,,
2022-01-08,S001,P0001,Electronics,North,308,96,248,68.56,10,Snowy,1,80.99,Winter,0,113,2022,1,1,8,5,1,3.2083333333333335,212,-12.429999999999993,-15.347573774540058,10,87.0,92.0,105.85714285714286,96.57142857142857
2022-01-09,S001,P0001,Electronics,North,212,57,0,62.76,10,Sunny,0,67.11,Winter,0,87,2022,1,1,9,6,1,3.719298245614035,155,-4.350000000000001,-6.4818953956191345,0,113.0,96.0,105.57142857142857,95.71428571428571
2022-01-10,S001,P0001,Electronics,North,403,88,0,68.99,5,Cloudy,0,81.14,Winter,0,99,2022,1,2,10,0,0,4.579545454545454,315,-12.150000000000006,-14.974118807000252,0,87.0,57.0,106.0,93.71428571428571
2022-01-11,S001,P0001,Electronics,North,315,112,0,73.71,0,Cloudy,0,85.29,Winter,0,103,2022,1,2,11,1,0,2.8125,203,-11.580000000000013,-13.577207175518833,0,99.0,88.0,101.28571428571429,86.0
2022-01-12,S001,P0001,Electronics,North,203,70,179,65.76,10,Snowy,0,60.13,Winter,0,85,2022,1,2,12,2,0,2.9,133,5.630000000000003,9.363046732080496,0,103.0,112.0,106.42857142857143,96.0
2022-01-13,S001,P0001,Electronics,North,133,80,0,54.01,20,Cloudy,1,61.35,Winter,0,77,2022,1,2,13,3,0,1.6625,53,-7.340000000000003,-11.964140179299108,20,85.0,70.0,102.85714285714286,87.57142857142857
2022-01-14,S001,P0001,Electronics,North,232,52,0,58.29,5,Sunny,0,61.97,Winter,0,52,2022,1,2,14,4,0,4.461538461538462,180,-3.6799999999999997,-5.938357269646603,0,77.0,80.0,93.0,85.0
2022-01-15,S001,P0001,Electronics,North,180,126,287,81.93,10,Sunny,1,95.61,Winter,0,175,2022,1,2,15,5,1,1.4285714285714286,54,-13.679999999999993,-14.308126764982735,10,52.0,52.0,88.0,79.28571428571429
2022-01-16,S001,P0001,Electronics,North,54,54,298,71.17,10,Cloudy,0,81.1,Winter,0,126,2022,1,2,16,6,1,1.0,0,-9.929999999999993,-12.244143033292223,0,175.0,126.0,96.85714285714286,83.57142857142857
2022-01-17,S001,P0001,Electronics,North,287,73,0,61.85,20,Sunny,1,61.83,Winter,0,102,2022,1,3,17,0,0,3.9315068493150687,214,0.020000000000003126,0.03234675723759199,20,126.0,54.0,102.42857142857143,83.14285714285714
2022-01-18,S001,P0001,Electronics,North,512,101,0,69.63,10,Cloudy,0,61.25,Winter,0,102,2022,1,3,18,1,0,5.069306930693069,411,8.379999999999995,13.681632653061218,0,102.0,73.0,102.85714285714286,81.0
2022-01-19,S001,P0001,Electronics,North,411,103,0,70.59,10,Cloudy,0,83.08,Winter,0,123,2022,1,3,19,2,0,3.9902912621359223,308,-12.489999999999995,-15.033702455464606,0,102.0,101.0,102.71428571428571,79.42857142857143
2022-01-20,S001,P0001,Electronics,North,308,20,0,49.47,10,Snowy,0,58.54,Winter,0,25,2022,1,3,20,3,0,15.4,288,-9.07,-15.493679535360439,0,123.0,103.0,108.14285714285714,84.14285714285714
2022-01-21,S001,P0001,Electronics,North,288,92,0,66.74,10,Sunny,0,63.13,Winter,0,90,2022,1,3,21,4,0,3.130434782608696,196,3.6099999999999923,5.718358941865978,0,25.0,20.0,100.71428571428571,75.57142857142857
2022-01-22,S001,P0001,Electronics,North,196,87,181,77.18,0,Sunny,0,74.8,Winter,0,102,2022,1,3,22,5,1,2.2528735632183907,109,2.3800000000000097,3.1818181818181945,0,90.0,92.0,106.14285714285714,81.28571428571429
2022-01-23,S001,P0001,Electronics,North,109,109,276,70.74,15,Snowy,1,65.08,Winter,0,126,2022,1,3,23,6,1,1.0,0,5.659999999999997,8.696988322065145,15,102.0,87.0,95.71428571428571,75.71428571428571
2022-01-24,S001,P0001,Electronics,North,181,29,0,46.98,25,Snowy,1,45.06,Winter,0,44,2022,1,4,24,0,0,6.241379310344827,152,1.9199999999999946,4.260985352862837,25,126.0,109.0,95.71428571428571,83.57142857142857
2022-01-25,S001,P0001,Electronics,North,428,55,0,60.18,10,Snowy,0,56.0,Winter,0,61,2022,1,4,25,1,0,7.781818181818182,373,4.18,7.4642857142857135,0,44.0,29.0,87.42857142857143,77.28571428571429
2022-01-26,S001,P0001,Electronics,North,373,147,331,68.86,25,Cloudy,1,61.97,Winter,0,160,2022,1,4,26,2,0,2.5374149659863945,226,6.890000000000001,11.118283040180733,25,61.0,55.0,81.57142857142857,70.71428571428571
2022-01-27,S001,P0001,Electronics,North,226,93,0,62.8,10,Cloudy,0,70.46,Winter,0,87,2022,1,4,27,3,0,2.4301075268817205,133,-7.659999999999997,-10.871416406471752,0,160.0,147.0,86.85714285714286,77.0
2022-01-28,S001,P0001,Electronics,North,464,201,343,80.4,20,Sunny,1,73.36,Winter,0,194,2022,1,4,28,4,0,2.308457711442786,263,7.040000000000006,9.596510359869146,20,87.0,93.0,95.71428571428571,87.42857142857143
2022-01-29,S001,P0001,Electronics,North,263,69,0,65.0,5,Sunny,0,77.11,Winter,0,81,2022,1,4,29,5,1,3.8115942028985508,194,-12.11,-15.704837245493449,0,194.0,201.0,110.57142857142857,103.0
2022-01-30,S001,P0001,Electronics,North,537,73,0,71.59,0,Cloudy,0,69.69,Winter,0,79,2022,1,4,30,6,1,7.3561643835616435,464,1.9000000000000057,2.726359592480996,0,81.0,69.0,107.57142857142857,100.42857142857143
2022-01-31,S001,P0001,Electronics,North,464,103,0,72.1,10,Cloudy,0,70.23,Winter,0,113,2022,1,5,31,0,0,4.504854368932039,361,1.8699999999999903,2.662679766481547,0,79.0,73.0,100.85714285714286,95.28571428571429
2022-02-01,S001,P0001,Electronics,North,361,102,0,70.53,5,Snowy,0,66.56,Winter,0,90,2022,2,5,1,1,0,3.5392156862745097,259,3.969999999999999,5.964543269230767,0,113.0,103.0,110.71428571428571,105.85714285714286
2022-02-02,S001,P0001,Electronics,North,259,94,215,60.16,20,Cloudy,1,54.96,Winter,0,94,2022,2,5,2,2,0,2.75531914893617,165,5.199999999999996,9.46142649199417,20,90.0,102.0,114.85714285714286,112.57142857142857
2022-02-03,S001,P0001,Electronics,North,165,41,0,64.73,5,Cloudy,0,56.97,Winter,0,66,2022,2,5,3,3,0,4.024390243902439,124,7.760000000000005,13.621204142531166,0,94.0,94.0,105.42857142857143,105.0
2022-02-04,S001,P0001,Electronics,North,339,76,0,69.7,10,Snowy,1,81.05,Winter,0,119,2022,2,5,4,4,0,4.4605263157894735,263,-11.349999999999994,-14.00370141887723,10,66.0,41.0,102.42857142857143,97.57142857142857
2022-02-05,S001,P0001,Electronics,North,263,81,0,64.98,5,Sunny,0,76.39,Winter,0,81,2022,2,5,5,5,1,3.246913580246914,182,-11.409999999999997,-14.936510014399786,0,119.0,76.0,91.71428571428571,79.71428571428571
2022-02-06,S001,P0001,Electronics,North,182,65,124,66.85,0,Sunny,0,65.43,Winter,0,61,2022,2,5,6,6,1,2.8,117,1.4199999999999875,2.170258291303664,0,81.0,81.0,91.71428571428571,81.42857142857143
2022-02-07,S001,P0001,Electronics,North,117,74,0,61.3,5,Snowy,0,70.26,Winter,0,65,2022,2,6,7,0,0,1.5810810810810811,43,-8.960000000000008,-12.752633077142054,0,61.0,65.0,89.14285714285714,80.28571428571429
2022-02-08,S001,P0001,Electronics,North,167,84,298,76.98,10,Snowy,0,68.59,Winter,0,135,2022,2,6,8,1,0,1.9880952380952381,83,8.39,12.23210380521942,0,65.0,74.0,82.28571428571429,76.14285714285714
2022-02-09,S001,P0001,Electronics,North,83,83,0,77.83,0,Sunny,0,85.01,Winter,0,120,2022,2,6,9,2,0,1.0,0,-7.180000000000007,-8.446065168803678,0,135.0,84.0,88.71428571428571,73.57142857142857
2022-02-10,S001,P0001,Electronics,North,298,59,0,61.17,10,Sunny,0,56.89,Winter,0,65,2022,2,6,10,3,0,5.0508474576271185,239,4.280000000000001,7.523290560731237,0,120.0,83.0,92.42857142857143,72.0
